opponent_name,champ_alistar,champ_bard,champ_blitzcrank,champ_brand,champ_braum,champ_janna,champ_karma,champ_leona,champ_lulu,champ_lux,champ_maokai,champ_morgana,champ_nami,champ_nautilus,champ_pantheon,champ_pyke,champ_rakan,champ_rell,champ_renata,champ_senna,champ_seraphine,champ_sona,champ_soraka,champ_swain,champ_tahmkench,champ_taric,champ_thresh,champ_velkoz,champ_xerath,champ_yuumi,champ_zilean,champ_zyra
alistar,50.0,52.6,49.32,49.47,51.18,54.66,51.9,48.79,52.59,51.26,51.2,50.78,47.45,47.61,44.39,47.73,47.37,47.27,49.75,51.72,52.29,45.52,52.39,58.2,46.02,48.76,46.96,49.7,50.46,47.59,50.84,52.05
amumu,52.05,50.0,51.25,54.44,50.0,46.55,47.98,52.79,46.99,47.54,52.56,50.0,47.3,52.89,54.72,49.38,43.04,50.0,51.93,50.99,47.46,50.0,52.31,41.38,50.0,50.0,47.54,50.0,51.56,44.54,41.57,43.88
anivia,45.32,50.0,53.02,63.08,50.0,50.0,45.6,46.15,47.31,46.08,59.21,50.0,44.57,57.22,50.0,51.34,55.71,50.0,43.71,52.0,50.0,50.0,47.62,50.0,50.0,50.0,44.88,50.0,52.36,50.58,45.56,53.95
bard,47.4,50.0,50.68,52.55,50.85,53.97,49.84,54.75,48.5,50.84,46.89,49.27,49.74,54.0,47.9,52.47,49.55,48.84,49.65,55.09,48.03,57.8,49.56,50.45,46.07,50.0,50.12,49.09,54.7,48.07,54.55,52.4
blitzcrank,50.68,49.32,50.0,48.37,50.88,49.05,45.54,50.48,47.1,46.35,48.7,46.97,46.77,50.49,45.17,46.09,49.22,50.47,45.98,47.76,46.44,47.77,49.1,51.19,45.74,50.0,45.06,45.27,47.51,44.65,50.5,48.57
brand,50.53,47.45,51.63,50.0,45.95,56.28,47.98,47.68,49.77,49.29,51.04,47.9,47.78,52.23,47.39,51.05,42.91,53.28,44.76,48.06,51.27,47.29,49.26,45.37,46.01,44.0,45.17,49.58,51.82,51.09,47.12,50.96
braum,48.82,49.15,49.12,54.05,50.0,43.21,48.27,49.07,54.61,51.42,46.19,47.97,53.85,50.44,51.06,52.32,56.69,54.55,45.64,51.46,53.03,50.0,53.66,46.39,57.29,50.0,44.43,55.56,47.32,47.36,59.03,50.38
galio,55.3,48.08,52.38,50.0,52.94,53.76,51.42,52.39,55.23,54.04,52.7,53.14,52.31,55.06,46.51,55.18,56.86,50.0,57.14,58.9,40.63,49.21,57.43,47.19,56.72,50.0,52.01,64.29,53.01,48.78,53.59,52.25
gragas,54.92,50.0,56.35,50.0,50.0,50.0,52.29,55.44,51.5,53.9,52.31,47.83,54.1,56.25,52.94,54.09,53.66,45.78,49.17,52.9,50.0,50.0,62.03,50.0,50.0,50.0,53.1,50.0,49.77,52.26,45.0,67.19
janna,45.34,46.03,50.95,43.72,56.79,50.0,49.72,48.18,47.43,49.06,51.8,47.15,47.23,49.2,50.99,52.37,47.04,45.99,46.65,51.98,48.77,51.94,49.86,48.84,54.1,40.0,48.46,53.04,48.56,46.97,46.91,50.0
karma,48.1,50.16,54.46,52.02,51.73,50.28,50.0,50.98,50.37,49.67,55.18,48.09,51.59,55.57,49.77,52.74,49.46,52.9,47.43,52.22,49.41,53.54,52.22,48.82,50.85,50.78,48.92,51.8,51.97,52.0,49.91,53.29
leona,51.21,45.25,49.52,52.32,50.93,51.82,49.02,50.0,48.84,48.76,50.07,52.6,47.25,49.88,45.31,48.47,50.93,49.61,48.1,49.27,45.72,53.02,49.98,51.49,48.64,46.48,48.05,49.43,49.88,45.18,53.45,52.57
lulu,47.41,51.5,52.9,50.23,45.39,52.57,49.63,51.16,50.0,50.35,50.51,48.19,50.65,52.4,46.95,49.25,46.95,51.87,49.65,51.77,50.49,53.03,52.75,47.06,51.29,46.56,47.56,52.46,50.39,48.74,50.67,54.5
lux,48.74,49.16,53.65,50.71,48.58,50.94,50.33,51.24,49.65,50.0,49.66,48.06,49.41,53.59,50.75,52.01,48.76,48.44,45.12,49.37,44.39,49.74,50.45,48.5,50.26,50.19,48.36,52.5,53.37,49.02,52.01,52.14
maokai,48.8,53.11,51.3,48.96,53.81,48.2,44.82,49.93,49.49,50.34,50.0,47.63,45.99,50.61,42.86,44.22,41.76,54.7,46.51,46.65,45.64,52.86,48.12,50.95,47.14,46.25,47.74,48.48,50.16,46.66,46.44,49.66
morgana,49.22,50.73,53.03,52.1,52.03,52.85,51.89,47.4,51.81,51.94,52.37,50.0,51.25,51.46,48.5,50.38,49.15,50.82,48.43,51.86,50.34,53.56,52.7,48.6,51.26,57.02,46.49,49.21,53.19,51.81,54.69,57.8
nami,52.55,50.26,53.23,52.22,46.15,52.77,48.41,52.75,49.35,50.59,54.01,48.75,50.0,54.7,52.38,50.6,50.78,54.44,48.65,51.27,45.34,53.82,50.51,46.23,49.75,43.55,46.42,48.68,52.59,49.31,51.78,55.57
nautilus,52.39,46.0,49.51,47.77,49.56,50.8,44.43,50.12,47.6,46.41,49.39,48.54,45.3,50.0,45.31,46.79,47.71,53.75,48.85,48.72,46.14,45.76,48.21,51.04,47.37,50.65,47.34,47.67,46.38,42.22,49.41,48.2
neeko,45.61,56.06,50.47,49.59,50.0,52.7,47.5,46.28,47.15,49.87,57.63,47.8,51.45,47.64,47.69,44.9,40.0,50.0,45.67,49.29,47.83,36.99,52.08,58.02,40.0,50.0,45.96,56.72,52.03,43.52,50.82,46.56
pantheon,55.61,52.1,54.83,52.61,48.94,49.01,50.23,54.69,53.05,49.25,57.14,51.5,47.62,54.69,50.0,54.56,45.89,49.52,49.3,52.63,49.3,51.91,51.05,53.37,51.33,48.33,49.27,46.32,54.32,51.33,53.48,45.85
pyke,52.27,47.53,53.91,48.95,47.68,47.63,47.26,51.53,50.75,47.99,55.78,49.62,49.4,53.21,45.44,50.0,52.42,47.96,50.56,46.85,45.84,49.59,51.96,49.82,47.98,41.88,47.56,45.96,48.07,46.41,49.37,50.14
rakan,52.63,50.45,50.78,57.09,43.31,52.96,50.54,49.07,53.05,51.24,58.24,50.85,49.22,52.29,54.11,47.58,50.0,51.3,51.58,52.66,45.45,56.83,54.89,51.46,51.11,42.25,46.74,50.62,49.95,47.17,50.21,52.89
rell,52.73,51.16,49.53,46.72,45.45,54.01,47.1,50.39,48.13,51.56,45.3,49.18,45.56,46.25,50.48,52.04,48.7,50.0,47.12,48.74,41.33,55.7,43.82,59.38,41.07,50.0,47.33,54.88,46.91,45.66,56.47,48.33
renata glasc,50.25,50.35,54.02,55.24,54.36,53.35,52.57,51.86,50.35,54.88,53.49,51.57,51.35,51.15,50.7,49.44,48.42,52.88,50.0,51.41,50.37,53.25,52.65,51.19,53.4,54.29,47.98,49.66,54.24,49.08,54.82,53.82
senna,48.28,44.91,52.24,51.94,48.54,48.02,47.78,50.73,48.23,50.63,53.35,48.14,48.73,51.28,47.37,53.15,47.34,51.26,48.59,50.0,45.98,49.08,50.97,50.16,47.98,47.86,46.13,54.32,50.87,47.53,48.05,54.26
seraphine,47.71,51.97,53.56,48.73,46.97,51.23,50.59,54.28,49.51,55.61,54.36,49.66,54.66,53.86,50.7,54.16,54.55,58.67,49.63,54.02,50.0,51.23,56.17,49.08,57.89,50.0,47.58,48.94,55.39,50.91,57.09,53.94
sett,49.46,63.64,52.15,62.28,50.0,67.09,53.94,55.5,51.8,53.28,57.14,46.49,54.46,55.84,52.53,59.48,51.79,60.87,61.42,60.65,48.44,67.86,51.61,50.0,56.32,50.0,51.92,41.79,56.35,49.8,52.99,54.31
shaco,45.95,51.35,47.96,45.68,47.0,56.38,48.59,44.92,54.21,49.43,51.83,43.13,44.31,51.35,49.49,42.82,42.47,43.44,48.9,55.33,51.38,57.99,55.56,54.1,43.51,59.62,48.91,47.8,47.6,51.29,49.71,46.67
shen,54.12,50.0,52.26,41.98,50.0,53.85,52.01,49.26,52.99,53.41,48.05,52.23,49.45,56.81,50.79,51.09,43.66,50.0,49.68,54.79,53.7,50.0,47.27,50.94,50.0,50.0,52.83,50.0,51.88,47.58,51.22,51.16
sona,54.48,42.2,52.23,52.71,50.0,48.06,46.46,46.98,46.97,50.26,47.14,46.44,46.18,54.24,48.09,50.41,43.17,44.3,46.75,50.92,48.77,50.0,50.82,51.18,43.82,50.0,45.49,52.78,49.79,46.82,51.22,50.79
soraka,47.61,50.44,50.9,50.74,46.34,50.14,47.78,50.02,47.22,49.55,51.88,47.3,49.49,51.79,48.95,48.04,45.11,56.18,47.35,49.03,43.83,49.18,50.0,49.33,48.65,51.9,46.02,52.62,48.47,50.63,48.49,51.81
swain,41.8,49.55,48.81,54.63,53.61,51.16,51.18,48.51,52.84,51.5,49.05,51.4,53.77,48.96,46.63,50.18,48.54,40.63,48.81,49.84,50.92,48.82,50.67,50.0,55.45,50.0,44.83,54.2,55.83,47.24,51.84,50.15
tahm kench,53.98,53.93,54.26,53.99,42.71,45.9,49.15,51.36,48.71,49.74,52.86,48.74,50.25,52.63,48.67,52.02,48.89,58.93,46.6,52.02,42.11,56.18,51.35,44.55,50.0,50.0,47.31,52.17,48.86,49.15,48.61,49.73
taric,51.24,50.0,50.0,56.0,50.0,60.0,49.22,53.52,53.44,49.81,53.75,42.98,56.45,49.35,51.67,58.12,57.75,50.0,45.71,52.14,50.0,50.0,48.1,50.0,50.0,50.0,46.3,50.0,46.3,46.31,50.62,40.85
thresh,53.04,49.88,54.94,54.83,55.57,51.54,51.08,51.95,52.44,51.64,52.26,53.51,53.58,52.66,50.73,52.44,53.26,52.67,52.02,53.87,52.42,54.51,53.98,55.17,52.69,53.7,50.0,51.87,53.49,48.07,54.84,54.32
veigar,49.65,54.55,55.16,57.66,47.27,50.0,52.82,53.15,50.08,51.52,58.73,55.58,57.4,52.9,50.52,50.85,49.56,53.03,50.0,49.01,42.68,43.48,55.66,49.32,52.94,50.0,50.0,69.01,50.68,49.37,57.5,51.79
vel'koz,50.3,50.91,54.73,50.42,44.44,46.96,48.2,50.57,47.54,47.5,51.52,50.79,51.32,52.33,53.68,54.04,49.38,45.12,50.34,45.68,51.06,47.22,47.38,45.8,47.83,50.0,48.13,50.0,51.44,51.31,51.48,54.51
xerath,49.54,45.3,52.49,48.18,52.68,51.44,48.03,50.12,49.61,46.63,49.84,46.81,47.41,53.62,45.68,51.93,50.05,53.09,45.76,49.13,44.61,50.21,51.53,44.17,51.14,53.7,46.51,48.56,50.0,50.31,50.62,48.88
yuumi,52.41,51.93,55.35,48.91,52.64,53.03,48.0,54.82,51.26,50.98,53.34,48.19,50.69,57.78,48.67,53.59,52.83,54.34,50.92,52.47,49.09,53.18,49.37,52.76,50.85,53.69,51.93,48.69,49.69,50.0,51.56,52.77
zac,49.34,43.14,51.42,47.75,50.0,65.29,47.75,54.29,48.71,48.87,54.95,48.38,51.79,47.4,42.11,44.68,48.53,46.0,52.44,49.08,55.38,35.59,48.65,46.07,50.0,50.0,47.74,46.43,48.91,49.22,52.38,58.2
zilean,49.16,45.45,49.5,52.88,40.97,53.09,50.09,46.55,49.33,47.99,53.56,45.31,48.22,50.59,46.52,50.63,49.79,43.53,45.18,51.95,42.91,48.78,51.51,48.16,51.39,49.38,45.16,48.52,49.38,48.34,50.0,50.47
zyra,47.95,47.6,51.39,49.04,49.62,50.0,46.71,47.43,45.5,47.86,50.34,42.2,44.43,51.8,54.15,49.86,47.11,51.67,46.18,45.74,46.06,49.21,48.19,49.85,50.27,59.15,45.68,45.49,51.12,47.23,49.53,50.0
